cell_barcode,donor,batch,condition,cell_type
cell_000,D03,B1,vehicle,cycling
cell_001,D01,B2,stimulated,cycling
cell_002,D03,B1,vehicle,cycling
cell_003,D01,B2,vehicle,epithelial
cell_004,D03,B2,vehicle,epithelial
cell_005,D04,B2,vehicle,cycling
cell_006,D03,B2,vehicle,epithelial
cell_007,D04,B1,vehicle,epithelial
cell_008,D02,B1,stimulated,cycling
cell_009,D01,B1,stimulated,cycling
cell_010,D02,B2,stimulated,epithelial
cell_011,D02,B2,vehicle,cycling
cell_012,D01,B1,stimulated,epithelial
cell_013,D02,B1,stimulated,epithelial
cell_014,D04,B2,vehicle,epithelial
cell_015,D03,B1,vehicle,cycling
cell_016,D04,B2,stimulated,cycling
cell_017,D02,B2,vehicle,cycling
cell_018,D01,B2,vehicle,cycling
cell_019,D02,B1,vehicle,epithelial
cell_020,D04,B2,vehicle,cycling
cell_021,D03,B2,vehicle,cycling
cell_022,D02,B2,stimulated,cycling
cell_023,D04,B1,vehicle,cycling
cell_024,D03,B1,stimulated,cycling
cell_025,D04,B2,stimulated,cycling
cell_026,D04,B2,stimulated,epithelial
cell_027,D02,B1,vehicle,epithelial
cell_028,D04,B1,vehicle,cycling
cell_029,D02,B2,stimulated,cycling
cell_030,D02,B1,vehicle,cycling
cell_031,D04,B2,stimulated,epithelial
cell_032,D04,B1,vehicle,epithelial
cell_033,D01,B2,vehicle,epithelial
cell_034,D04,B2,vehicle,epithelial
cell_035,D04,B2,vehicle,epithelial
cell_036,D04,B1,vehicle,cycling
cell_037,D01,B1,vehicle,cycling
cell_038,D04,B1,vehicle,cycling
cell_039,D02,B1,stimulated,epithelial
cell_040,D03,B1,vehicle,cycling
cell_041,D04,B2,vehicle,epithelial
cell_042,D01,B2,vehicle,cycling
cell_043,D02,B1,stimulated,epithelial
cell_044,D04,B1,stimulated,epithelial
cell_045,D01,B2,vehicle,cycling
cell_046,D03,B2,stimulated,epithelial
cell_047,D01,B2,vehicle,cycling
cell_048,D01,B2,stimulated,cycling
cell_049,D04,B1,stimulated,cycling
cell_050,D04,B2,vehicle,cycling
cell_051,D02,B1,stimulated,cycling
cell_052,D02,B1,vehicle,epithelial
cell_053,D02,B1,vehicle,epithelial
cell_054,D04,B2,vehicle,cycling
cell_055,D04,B1,vehicle,epithelial
cell_056,D02,B1,vehicle,cycling
cell_057,D04,B1,vehicle,cycling
cell_058,D03,B2,vehicle,cycling
cell_059,D01,B1,vehicle,epithelial
cell_060,D02,B2,stimulated,cycling
cell_061,D01,B2,stimulated,cycling
cell_062,D03,B1,stimulated,cycling
cell_063,D04,B2,stimulated,cycling
cell_064,D04,B2,vehicle,cycling
cell_065,D02,B1,stimulated,cycling
cell_066,D01,B1,stimulated,epithelial
cell_067,D02,B1,stimulated,cycling
cell_068,D03,B2,vehicle,epithelial
cell_069,D01,B1,stimulated,epithelial
cell_070,D02,B2,vehicle,epithelial
cell_071,D02,B1,stimulated,cycling
cell_072,D03,B2,vehicle,cycling
cell_073,D04,B1,vehicle,cycling
cell_074,D02,B2,stimulated,cycling
cell_075,D04,B1,stimulated,epithelial
cell_076,D01,B1,vehicle,cycling
cell_077,D01,B2,vehicle,epithelial
cell_078,D01,B1,stimulated,epithelial
cell_079,D03,B2,vehicle,epithelial
cell_080,D01,B1,stimulated,cycling
cell_081,D01,B2,vehicle,cycling
cell_082,D02,B1,vehicle,cycling
cell_083,D03,B2,stimulated,epithelial
cell_084,D02,B1,stimulated,epithelial
cell_085,D04,B2,stimulated,epithelial
cell_086,D04,B2,vehicle,cycling
cell_087,D02,B2,vehicle,cycling
cell_088,D01,B1,vehicle,epithelial
cell_089,D03,B1,stimulated,cycling
cell_090,D03,B2,vehicle,cycling
cell_091,D01,B1,stimulated,epithelial
cell_092,D01,B1,stimulated,epithelial
cell_093,D02,B1,stimulated,epithelial
cell_094,D03,B1,stimulated,epithelial
cell_095,D03,B1,vehicle,cycling
cell_096,D01,B2,stimulated,cycling
cell_097,D02,B2,vehicle,cycling
cell_098,D03,B1,stimulated,epithelial
cell_099,D01,B2,stimulated,cycling
cell_100,D02,B1,vehicle,epithelial
cell_101,D02,B1,vehicle,epithelial
cell_102,D02,B2,vehicle,epithelial
cell_103,D04,B2,vehicle,epithelial
cell_104,D04,B2,stimulated,epithelial
cell_105,D02,B1,stimulated,cycling
cell_106,D03,B1,stimulated,epithelial
cell_107,D03,B2,vehicle,cycling
cell_108,D04,B2,stimulated,epithelial
cell_109,D02,B2,vehicle,epithelial
cell_110,D04,B1,vehicle,cycling
cell_111,D03,B1,vehicle,epithelial
cell_112,D01,B2,stimulated,epithelial
cell_113,D01,B2,vehicle,epithelial
cell_114,D04,B1,stimulated,cycling
cell_115,D01,B2,vehicle,epithelial
cell_116,D02,B1,vehicle,epithelial
cell_117,D01,B2,stimulated,epithelial
cell_118,D04,B1,vehicle,epithelial
cell_119,D04,B1,vehicle,cycling
cell_120,D04,B1,stimulated,cycling
cell_121,D01,B2,stimulated,epithelial
cell_122,D03,B1,vehicle,epithelial
cell_123,D02,B1,vehicle,cycling
cell_124,D03,B1,stimulated,cycling
cell_125,D04,B1,vehicle,epithelial
cell_126,D01,B2,stimulated,cycling
cell_127,D01,B1,stimulated,cycling
cell_128,D02,B1,vehicle,epithelial
cell_129,D01,B2,vehicle,epithelial
cell_130,D02,B1,stimulated,epithelial
cell_131,D02,B1,vehicle,epithelial
cell_132,D01,B1,stimulated,epithelial
cell_133,D03,B1,vehicle,cycling
cell_134,D03,B1,stimulated,cycling
cell_135,D04,B2,stimulated,cycling
cell_136,D04,B1,vehicle,cycling
cell_137,D01,B1,stimulated,epithelial
cell_138,D04,B1,vehicle,epithelial
cell_139,D03,B2,vehicle,cycling
cell_140,D02,B2,stimulated,cycling
cell_141,D01,B2,stimulated,cycling
cell_142,D04,B1,vehicle,cycling
cell_143,D04,B2,vehicle,cycling
cell_144,D03,B2,vehicle,epithelial
cell_145,D02,B1,stimulated,epithelial
cell_146,D03,B1,stimulated,cycling
cell_147,D03,B2,vehicle,cycling
cell_148,D01,B1,vehicle,cycling
cell_149,D02,B1,stimulated,cycling
cell_150,D02,B2,vehicle,cycling
cell_151,D02,B1,stimulated,epithelial
cell_152,D01,B2,stimulated,epithelial
cell_153,D04,B2,stimulated,cycling
cell_154,D01,B2,stimulated,epithelial
cell_155,D01,B1,vehicle,cycling
cell_156,D04,B1,vehicle,cycling
cell_157,D01,B2,vehicle,epithelial
cell_158,D02,B1,stimulated,cycling
cell_159,D02,B2,stimulated,epithelial
