,cell_000,cell_001,cell_002,cell_003,cell_004,cell_005,cell_006,cell_007,cell_008,cell_009,cell_010,cell_011,cell_012,cell_013,cell_014,cell_015,cell_016,cell_017,cell_018,cell_019,cell_020,cell_021,cell_022,cell_023,cell_024,cell_025,cell_026,cell_027,cell_028,cell_029,cell_030,cell_031,cell_032,cell_033,cell_034,cell_035,cell_036,cell_037,cell_038,cell_039,cell_040,cell_041,cell_042,cell_043,cell_044,cell_045,cell_046,cell_047,cell_048,cell_049,cell_050,cell_051,cell_052,cell_053,cell_054,cell_055,cell_056,cell_057,cell_058,cell_059,cell_060,cell_061,cell_062,cell_063,cell_064,cell_065,cell_066,cell_067,cell_068,cell_069,cell_070,cell_071,cell_072,cell_073,cell_074,cell_075,cell_076,cell_077,cell_078,cell_079,cell_080,cell_081,cell_082,cell_083,cell_084,cell_085,cell_086,cell_087,cell_088,cell_089,cell_090,cell_091,cell_092,cell_093,cell_094,cell_095,cell_096,cell_097,cell_098,cell_099,cell_100,cell_101,cell_102,cell_103,cell_104,cell_105,cell_106,cell_107,cell_108,cell_109,cell_110,cell_111,cell_112,cell_113,cell_114,cell_115,cell_116,cell_117,cell_118,cell_119,cell_120,cell_121,cell_122,cell_123,cell_124,cell_125,cell_126,cell_127,cell_128,cell_129,cell_130,cell_131,cell_132,cell_133,cell_134,cell_135,cell_136,cell_137,cell_138,cell_139,cell_140,cell_141,cell_142,cell_143,cell_144,cell_145,cell_146,cell_147,cell_148,cell_149,cell_150,cell_151,cell_152,cell_153,cell_154,cell_155,cell_156,cell_157,cell_158,cell_159
TP53,6,9,3,3,2,10,9,15,13,5,8,7,5,5,8,4,5,13,16,15,8,13,13,4,5,14,6,3,3,4,4,9,2,7,5,10,7,8,15,7,11,2,6,6,3,13,10,7,1,17,13,13,12,2,9,5,11,10,5,9,5,7,6,3,8,11,7,3,4,6,11,13,7,17,14,8,5,13,9,14,5,7,7,8,11,3,11,17,27,1,11,8,3,2,5,9,8,3,5,15,2,12,7,7,8,7,3,3,8,11,5,13,5,6,5,19,13,6,0,12,4,3,14,11,13,15,7,4,5,16,5,2,8,10,10,5,2,12,9,9,13,17,7,14,23,9,9,7,6,11,10,6,7,9,13,12,15,19,12,11
KRAS,10,11,8,22,5,9,27,10,15,14,5,5,10,8,4,12,6,7,10,19,9,12,4,4,7,7,3,6,17,13,8,3,22,15,17,6,10,0,5,10,5,16,2,6,4,15,6,12,11,5,9,11,21,20,8,13,10,7,21,5,7,11,9,3,6,17,12,23,4,7,3,13,12,15,10,11,6,8,17,2,6,17,2,8,13,4,2,6,13,5,10,3,9,10,7,11,20,7,4,8,16,6,8,13,14,17,16,8,7,11,1,13,5,4,18,5,3,23,18,9,2,8,5,10,12,3,10,16,2,4,9,6,6,9,11,7,10,19,12,10,19,8,8,3,8,8,18,8,14,4,5,12,9,6,9,12,18,7,7,10
MYC,16,2,9,7,12,16,9,5,6,4,19,8,12,6,1,5,2,9,4,8,11,14,10,5,5,3,7,8,16,18,9,10,13,13,2,11,3,15,7,3,4,11,13,16,8,10,12,10,5,8,9,7,5,18,7,6,2,8,7,16,11,12,28,1,13,18,10,4,6,7,11,6,4,21,0,13,5,11,6,16,19,7,7,8,6,17,7,8,11,20,21,7,10,6,8,13,5,4,14,14,15,12,2,7,1,18,5,5,21,3,4,6,15,10,8,11,6,1,10,11,6,8,15,6,11,8,3,14,10,5,4,13,29,3,10,9,12,8,11,17,8,4,9,21,4,3,10,2,9,27,6,8,2,5,9,11,7,7,8,1
EPCAM,5,12,9,8,6,8,9,9,6,10,7,14,3,11,11,8,12,12,4,8,18,8,7,7,7,10,5,12,5,5,19,12,22,4,14,4,11,10,7,27,10,2,5,11,3,3,12,7,11,8,11,6,7,11,7,7,7,3,3,0,2,11,13,13,11,4,10,15,6,6,15,4,8,7,6,7,3,8,7,10,2,7,11,13,4,11,12,7,17,8,14,4,15,7,7,7,14,4,5,9,1,5,11,3,4,9,8,9,3,3,5,6,2,14,16,6,15,13,8,7,11,3,8,6,5,7,4,6,11,15,16,14,15,23,7,7,8,8,5,15,18,2,26,8,6,9,16,9,10,4,8,8,5,14,9,10,15,10,4,2
KRT8,10,7,3,11,7,6,12,8,5,7,16,11,5,9,6,16,8,5,3,19,9,13,13,12,9,14,15,0,15,19,2,25,9,3,11,5,6,10,7,10,5,5,11,16,7,8,1,14,7,3,3,8,6,17,23,8,7,9,3,10,5,6,3,7,5,10,4,9,7,9,13,9,11,14,19,5,6,8,7,4,22,4,11,15,5,4,7,6,9,12,9,6,10,16,11,21,9,11,7,14,10,1,12,20,4,4,6,0,9,5,3,5,20,3,11,8,6,13,29,13,27,11,19,13,9,17,10,7,8,0,5,11,4,8,12,12,6,17,13,8,7,5,7,5,7,10,5,2,12,6,6,7,10,1,8,5,19,11,9,14
MKI67,5,6,5,7,9,3,8,9,2,10,13,6,6,12,4,3,10,9,8,7,13,7,24,5,16,11,9,9,12,8,12,14,16,6,10,6,3,7,8,10,11,11,10,10,18,8,18,14,15,8,7,13,2,10,11,4,8,8,22,12,18,8,3,5,11,13,15,7,6,16,8,12,13,26,14,3,10,8,8,9,12,5,6,11,13,17,3,7,10,7,6,17,4,10,7,14,14,1,13,8,21,4,11,9,10,20,3,5,2,3,14,5,7,8,9,14,6,20,2,2,11,4,6,2,6,10,13,7,5,2,17,6,6,19,13,7,14,4,6,11,12,9,25,2,15,6,8,3,9,9,9,4,11,14,10,7,12,11,2,2
PTPRC,6,6,9,7,3,13,4,5,15,5,3,11,6,7,13,25,4,15,5,8,13,21,2,4,17,0,8,10,9,4,6,17,4,15,8,7,7,8,12,11,12,11,3,13,13,7,14,1,1,7,19,7,3,19,19,10,12,9,12,3,11,8,6,9,19,9,5,14,23,18,15,11,7,7,9,19,12,20,24,7,7,13,9,13,5,4,12,8,4,20,9,12,9,13,13,6,11,6,17,16,4,12,11,2,2,19,9,11,10,10,11,9,7,16,6,7,6,4,27,9,4,4,15,8,7,7,7,8,8,8,15,9,1,2,8,3,5,5,30,17,6,5,5,2,11,6,13,2,12,9,6,11,21,6,19,11,2,2,5,24
MT-CO1,4,4,13,10,15,7,17,9,5,13,18,14,10,11,11,5,6,9,7,5,7,13,9,11,12,14,11,6,4,11,15,12,9,10,11,8,9,11,5,5,3,11,17,14,7,6,8,18,14,6,5,7,13,6,8,16,7,9,9,16,12,7,3,9,8,4,12,10,10,7,10,3,8,15,3,14,5,6,7,8,11,9,12,11,3,6,11,7,11,11,7,6,7,14,12,13,9,8,16,9,6,8,3,11,7,6,33,8,9,10,9,5,19,5,5,7,11,3,10,14,13,5,25,12,3,8,15,4,11,14,9,6,12,19,4,8,11,24,31,10,7,10,11,8,10,9,13,3,9,24,4,5,12,4,10,14,6,11,8,15
RPLP0,21,13,1,15,7,9,17,14,12,2,12,10,11,7,12,9,3,1,7,18,7,9,7,5,3,10,5,1,11,6,6,9,9,7,5,6,2,8,2,9,18,12,15,5,1,10,3,10,1,6,3,13,7,5,15,10,4,7,16,5,8,18,23,9,6,9,11,9,14,7,7,5,6,6,5,26,8,9,8,12,16,11,8,5,13,4,12,9,12,8,17,8,3,6,6,25,22,11,10,10,3,4,6,8,11,8,7,12,10,4,7,8,5,10,14,6,3,15,17,2,14,14,2,11,11,12,5,18,10,7,8,15,12,17,10,7,8,13,15,12,4,9,9,4,8,12,6,4,5,6,18,17,12,18,8,11,19,8,8,16
ACTB,21,13,15,8,7,5,24,5,10,5,8,4,4,10,3,7,7,11,4,4,12,7,2,4,4,7,4,6,2,11,6,8,20,25,5,3,13,17,9,7,10,6,13,9,11,10,13,17,4,8,17,3,6,10,10,5,16,10,17,11,10,10,14,8,9,13,8,6,18,9,14,12,11,3,3,8,5,2,5,7,11,6,9,1,0,9,14,18,11,17,2,6,5,9,3,8,9,19,7,6,2,2,18,18,10,8,8,9,7,11,8,10,7,1,4,17,2,6,12,9,19,18,12,2,15,14,2,28,17,6,5,5,12,7,8,13,9,9,27,1,20,14,10,10,6,2,8,7,12,15,3,14,8,12,19,9,11,8,13,6
